Acc calculated speed [803],Acceleration Forward [219],Acceleration Right [220],Acceleration Up [221],User AIN1  [9],User AIN2  [13],User AIN3  [14],User AIN4  [15],User AIN8  [343],User AIN9  [344],User AIN12  [347],User AIN13  [348],CLT input voltage [2],E-throttle Mod AIN1 voltage [200],E-throttle Mod AIN2 voltage [201],E-throttle Mod AIN3 voltage [202],E-throttle Mod AIN4 voltage [203],IAT input voltage [1],TPS input voltage [0],USER AIN1 input voltage [3],USER AIN2 input voltage [4],USER AIN3 input voltage [7],USER AIN4 input voltage [8],USER AIN5 input voltage [322],USER AIN6 input voltage [323],USER AIN7 input voltage [324],USER AIN8 input voltage [325],USER AIN9 input voltage [326],USER AIN10 input voltage [327],USER AIN11 input voltage [328],USER AIN12 input voltage [329],USER AIN13 input voltage [330],USER AIN14 input voltage [331],USER AIN15 input voltage [332],DIN 1 Active  [145],DIN 2 Active  [146],DIN 3 Active  [116],DIN 4 Active  [313],DIN 5 Active  [314],DIN 6 Active  [315],5V VRef voltage [16],5V2 VRef voltage [394],12V 2 Voltage [395],CPU temp [78],Error code count [108],Last error code [71],Power on count [141],Top ECU temperature [143],Top supply voltage [144],Total on time [142],AFR [404],Baro pressure [95],Battery voltage [21],Coolant temp [18],ECU on time [124],Engine Max MAP [592],Engine Max RPM [591],Engine runtime [69],Engine total revs [513],Engine total time [512],Engine total time on launch [594],Engine total time over limit [593],Intake air temp [17],Lambda [5],Lambda Rich/Lean A [6],MAP [20],Rev-limit RPM [487],RPM [61],RPM rate [76],Throttle position [19],TPS Rate [103],Fuel Pump State [1217],Engine Oil Pressure [804],Engine Oil Temp [805],Backup pedal position [207],Backup throttle 1 position [205],Backup throttle 2 position [482],Main pedal position [206],Main throttle 1 position [204],Main throttle 2 position [481],Pedal position sensor error [373],Target throttle position 1 [208],Target throttle position 2 [408],Throttle 1 motor duty [388],Throttle 1 position sensor error [374],Throttle 1 target error [489],Throttle 2 motor duty [485],Throttle 2 position sensor error [480],Throttle 2 target error [490],Throttle overload counter [510],Backup pedal voltage [213],Backup throttle 1 voltage [211],Backup throttle 2 voltage [484],Main pedal voltage [212],Main throttle 1 voltage [210],Main throttle 2 voltage [483],Acc enrichment [106],Baro trim [66],CLT trim [67],Cyl 1 Fuel Trim [1124],Cyl 2 Fuel Trim [1125],Fuel angle [49],Fuel cut [100],Fuel cut reason [584],Fuel duty primary [64],Fuel duty secondary [263],Fuel load primary [273],Fuel load secondary [393],Fuel pulse effective primary [568],Fuel pulse effective secondary [569],Fuel pulse primary [63],Fueling Target Error Bank A [664],IAT trim [65],Lambda corr A [102],Lambda corr state [670],Lambda target [81],Lambda target error [589],Long term trim 1 [123],VE table 1 [70],Primary fuel pressure [499],Primary fuel pressure error [557],Total fuel trim [79],Total Fueling Target Error [806],Fuel consumption [282],Idle ctrl duty Air [563],Idle ctrl duty Ign [72],Idle Fast Ctrl error [564],Idle PID D [153],Idle PID I [152],Idle PID P [151],Idle RPM error [562],Idle step position [77],Idle Target RPM [818],Ignition angle [60],Ignition cut [101],Ignition cut reason [585],Total ignition correction [80],IAT correction [552],EGT 1  [128],EGT 2  [129],Internal out 10  [533],Internal out 11  [534],Internal out 12  [535],Internal out 23  [1168],Internal out 24  [1169],Log Timestamp [498],GPO out 4  [412],GPO out 11  [447],GPO out 12  [448],GPO out 16  [452],GPO out 17  [453],GPO out 20  [456],GPO out 21  [457],IGN out 1  [425],VSS Gear [90],Wheelspeed Rear Left [248],Wheelspeed Rear Right [249],Clutch switch active [662],Launch RPM [1110],Launchcontrol stage [288],Shiftcut active [289],Throttle Blip Active [657],Home position [50],User CAN3  [298],User CAN4  [299],User CAN8  [303],User CAN11  [306],
0,-0.0199999995529652,0,1.01999998092651,106.099998474121,52.2000007629395,24.8999996185303,492.600006103516,142.300003051758,4,0.400000005960464,5.40000009536743,0.513999998569489,0,0,0,0,1.44900000095367,0.133000001311302,0.303999990224838,1.17799997329712,0.592999994754791,2.4449999332428,0.214000001549721,0.721000015735626,1.04499995708466,1.92400002479553,1.13999998569489,0.111000001430511,0.103000000119209,0.108000002801418,0.727999985218048,0.897000014781952,4.00600004196167,0,0,0,0,0,1,4.94999980926514,4.94999980926514,12.960000038147,42,0,0,2089,47,14.6599998474121,334.600006103516,0.00999999977648258,100.199996948242,13,84.5999984741211,1074.30004882813,178.199996948242,10252,0.300000011920929,18892,74.4000015258789,408,319,44.2000007629395,0.00100000004749745,-1,57,10000,4194,9906,1.39999997615814,-6.40000009536743,1,24.8999996185303,106.099998474121,2.40000009536743,12.3999996185303,0,1.39999997615814,12.1999998092651,0,1,12.3000001907349,12.3000001907349,0,-0.200000002980232,0.100000001490116,0,0,0,0,0.214000001549721,4.0460000038147,0,0.721000015735626,0.906000018119812,0,0,-1.20000004768372,0,0,0,387,0,0,11.6999998092651,0,28.7000007629395,0,2.59100008010864,0,3.37599992752075,-99.9000015258789,-7.5,0,0,0.949999988079071,-0.949000000953674,0,55.2000007629395,543.200012207031,527.799987792969,-8.69999980926514,-99.9000015258789,1602,18.5,50,294,11,386,-127,-494,0,3700,35.9000015258789,0,0,0,0,470,343,0,0,1,0,0,0,100,0,0,0,0,100,0,8.39999961853027,0,0,0.400000005960464,0,0,0,0,0,57,204.800003051758,0,0,0.800000011920929,
0,-0.0299999993294477,0,1.03999996185303,106,52.2000007629395,47.2999992370605,492.600006103516,142.199996948242,4,0.400000005960464,5.5,0.513999998569489,0,0,0,0,1.44900000095367,0.130999997258186,0.305000007152557,1.17799997329712,0.684000015258789,2.44600009918213,0.214000001549721,0.720000028610229,1.04700005054474,1.92299997806549,1.14800000190735,0.112000003457069,0.105999998748302,0.108000002801418,0.731000006198883,0.926999986171722,3.97399997711182,0,0,0,0,0,1,4.94999980926514,4.94999980926514,12.8299999237061,42,0,0,2089,47,14.6599998474121,334.600006103516,0.00999999977648258,100.199996948242,12.9099998474121,84.5999984741211,1074.40002441406,178.199996948242,10252,0.400000005960464,18892,74.4000015258789,408,319,44.2000007629395,0.00100000004749745,-1,42.9000015258789,10000,4992,8226,1.39999997615814,4.30000019073486,1,47.2999992370605,106,2.40000009536743,13.3999996185303,0,1.39999997615814,13.1000003814697,0,1,13.1999998092651,13.1999998092651,3.40000009536743,-0.300000011920929,0.100000001490116,0,0,0,0,0.212999999523163,4.01399993896484,0,0.721000015735626,0.935999989509583,0,0,-1.20000004768372,0,0,0,376,0,0,10.5,0,19.6000003814697,0,1.73800003528595,0,2.52900004386902,-99.9000015258789,-7.5,0,0,0.935000002384186,-0.934000015258789,0,50.2000007629395,557.299987792969,544.900024414063,-8.69999980926514,-99.9000015258789,1218,18,50,294,11,386,-127,-1292,0,3700,32.9000015258789,0,0,0,0,470,343,0,0,1,0,0,0,100,0,3.40000009536743,0,0,100,0,10.3999996185303,0,0,0.400000005960464,0,0,0,0,0,57,0,0,0,0,
0,-0.0199999995529652,0,1.04999995231628,105.900001525879,52.2000007629395,186,491.700012207031,142.300003051758,2.90000009536743,0.400000005960464,5.69999980926514,0.513999998569489,0,0,0,0,1.45000004768372,0.130999997258186,0.305999994277954,1.17799997329712,1.23099994659424,2.44300007820129,0.212999999523163,0.721000015735626,1.04799997806549,1.92400002479553,1.13999998569489,0.111000001430511,0.104999996721745,0.108000002801418,0.737999975681305,0.931999981403351,3.97099995613098,0,0,0,0,0,1,4.94999980926514,4.94999980926514,13,42,0,0,2089,47,14.6599998474121,334.600006103516,0.00999999977648258,100.199996948242,12.8999996185303,84.5999984741211,1074.5,178.199996948242,10252,0.5,18892,74.4000015258789,408,319,44.2000007629395,0.00100000004749745,-1,34.5,10000,5360,5512,1.39999997615814,1.20000004768372,1,186,105.900001525879,2.40000009536743,13.5,0,1.39999997615814,13.3000001907349,0,1,13.3000001907349,13.3000001907349,-1.39999997615814,-0.200000002980232,0,0,0,0,0,0.212999999523163,4.01100015640259,0,0.721000015735626,0.940999984741211,0,0,-1.20000004768372,0,0,0,371,40,16384,9.80000019073486,0,16.2000007629395,0,1.41400003433228,0,2.20600008964539,-99.9000015258789,-7.5,0,0,0.930000007152557,-0.929000020027161,0,51.5999984741211,565.700012207031,554.400024414063,-8.69999980926514,-99.9000015258789,714,17.3999996185303,50,294,11,386,-127,-1660,0,3700,33.2999992370605,0,0,0,0,470,343,0,0,1,0,0,0,100,1.39999997615814,0,0,0,100,0,11,0,0,0.400000005960464,0,0,0,0,0,57,0,0,0,0,
0,-0.0199999995529652,0,1.02999997138977,105.699996948242,52.2000007629395,291.5,494.600006103516,142.300003051758,1.79999995231628,0.5,5.5,0.513999998569489,0,0,0,0,1.45000004768372,0.133000001311302,0.307000011205673,1.17700004577637,1.64900004863739,2.45499992370605,0.209999993443489,0.720000028610229,1.04499995708466,1.92400002479553,1.0900000333786,0.111000001430511,0.105999998748302,0.108999997377396,0.73199999332428,0.931999981403351,3.97300004959106,0,0,0,1,0,1,4.94999980926514,4.94999980926514,12.8800001144409,42,0,0,2089,47,14.6599998474121,334.600006103516,0.00999999977648258,100.199996948242,12.9300003051758,84.5999984741211,1074.59997558594,178.199996948242,10252,0.600000023841858,18892,74.4000015258789,408,319,44.2000007629395,0.00100000004749745,-1,29.7999992370605,10000,5042,294,1.39999997615814,-1.29999995231628,1,291.5,105.699996948242,2.40000009536743,13.5,0,1.39999997615814,13.3000001907349,0,1,13.1000003814697,13.1000003814697,-6.5,-0.200000002980232,-0.200000002980232,0,0,0,0,0.209999993443489,4.01300001144409,0,0.720000028610229,0.940999984741211,0,0,-1.20000004768372,0,0,0,361,89,16384,8.5,0,14.3999996185303,0,1.23500001430511,0,2.02500009536743,-99.9000015258789,-7.5,0,0,0.930000007152557,-0.929000020027161,0,53.2999992370605,570.400024414063,561.400024414063,-8.69999980926514,-99.9000015258789,153,17,50,294,11,386,-127,-1342,0,3700,33.2999992370605,0,0,0,0,470,344,0,0,1,0,0,0,100,6.5,0,0,0,100,0,10.3999996185303,0,0,0.400000005960464,0,0,0,0,0,57,0,0,0,0,
0,-0.0199999995529652,0,1.02999997138977,105.699996948242,52.2000007629395,268,494.600006103516,142.199996948242,1.39999997615814,0.5,5.5,0.514999985694885,0,0,0,0,1.44900000095367,0.133000001311302,0.307000011205673,1.17700004577637,1.55900001525879,2.4539999961853,0.210999995470047,0.720000028610229,1.0460000038147,1.92299997806549,1.11199998855591,0.108999997377396,0.104999996721745,0.108999997377396,0.73199999332428,0.930999994277954,3.97399997711182,0,0,0,1,0,1,4.94999980926514,4.94999980926514,12.9899997711182,42,0,0,2089,47,14.6599998474121,334.600006103516,0.00999999977648258,100.199996948242,13.0299997329712,84.5,1074.69995117188,178.199996948242,10252,0.699999988079071,18892,74.4000015258789,408,319,44.2000007629395,0.00100000004749745,-1,28.1000003814697,10000,4442,-3237,1.39999997615814,-6.80000019073486,1,268,105.699996948242,2.40000009536743,13.3999996185303,0,1.39999997615814,13.3000001907349,0,1,12.6000003814697,12.6000003814697,-12.1000003814697,-0.100000001490116,-0.699999988079071,0,0,0,0,0.210999995470047,4.01399993896484,0,0.720000028610229,0.939999997615814,0,0,-1.20000004768372,0,0,0,351,100,16384,6.90000009536743,0,12.8000001907349,0,1.09800004959106,0,1.88199996948242,-99.9000015258789,-7.5,0,0,0.930000007152557,-0.929000020027161,0,50.2000007629395,572.099975585938,564.599975585938,-8.69999980926514,-99.9000015258789,0,16.5,50,294,11,386,-127,-742,0,3700,32.9000015258789,0,0,0,0,470,346,0,0,1,0,0,0,100,12.1000003814697,0,0,0,100,0,9.10000038146973,0,0,0.600000023841858,0,0,0,0,0,57,0,0,0,0,
0,-0.0199999995529652,0,1.00999999046326,105.699996948242,52.2999992370605,243.600006103516,493.600006103516,142.300003051758,0.600000023841858,0.400000005960464,5.59999990463257,0.514999985694885,0,0,0,0,1.45000004768372,0.133000001311302,0.307000011205673,1.17499995231628,1.45899999141693,2.45099997520447,0.211999997496605,0.720000028610229,1.0460000038147,1.92400002479553,1.0900000333786,0.111000001430511,0.105999998748302,0.108000002801418,0.736000001430511,0.892000019550323,4.01300001144409,0,0,0,1,0,1,4.94999980926514,4.94999980926514,12.9099998474121,42,0,0,2089,47,14.6599998474121,334.600006103516,0.00999999977648258,100.199996948242,13.0299997329712,84.5,1074.80004882813,178.199996948242,10252,0.800000011920929,18892,74.4000015258789,408,319,44.2000007629395,0.00100000004749745,-1,28.2999992370605,10000,3772,-5168,1.39999997615814,-7.59999990463257,1,243.600006103516,105.699996948242,2.40000009536743,12.1999998092651,0,1.39999997615814,12.1000003814697,0,1,11.6000003814697,11.6000003814697,-20.8999996185303,-0.100000001490116,-0.5,0,0,0,0,0.211999997496605,4.05299997329712,0,0.720000028610229,0.901000022888184,0,0,-1.20000004768372,0,0,0,341,0,0,5.69999980926514,0,12.1999998092651,0,1.0460000038147,0,1.83000004291534,-99.9000015258789,-7.5,0,0,0.89300000667572,-0.892000019550323,0,47.4000015258789,571.900024414063,565.599975585938,-8.69999980926514,-99.9000015258789,282,16,50,294,11,386,-127,-72,0,3700,33.0999984741211,0,0,0,0,472,348,0,0,1,0,0,0,100,20.8999996185303,0,0,0,100,0,7.90000009536743,0,0,0.600000023841858,0,0,0,0,0,57,0,0,0,0,
0,-0.0199999995529652,0,1.01999998092651,105.699996948242,52.2000007629395,242.600006103516,493.600006103516,142.300003051758,0.400000005960464,0.5,5.5,0.514999985694885,0,0,0,0,1.45000004768372,0.133000001311302,0.307000011205673,1.17700004577637,1.45500004291534,2.45099997520447,0.210999995470047,0.718999981880188,1.04499995708466,1.92400002479553,1.08299994468689,0.108999997377396,0.104999996721745,0.108999997377396,0.732999980449677,0.888000011444092,4.01900005340576,0,0,0,1,0,1,4.94999980926514,4.94999980926514,13.0100002288818,42,0,0,2089,47,14.6599998474121,334.600006103516,0.00999999977648258,100.199996948242,12.8999996185303,84.5,1074.90002441406,178.199996948242,10252,0.899999976158142,18892,74.4000015258789,408,319,44.2000007629395,0.00100000004749745,-1,29.8999996185303,10000,3580,-3203,1.39999997615814,-1.20000004768372,1,242.600006103516,105.699996948242,2.40000009536743,12,0,1.39999997615814,11.8999996185303,0,1,11.5,11.5,-25.6000003814697,-0.100000001490116,-0.400000005960464,0,0,0,0,0.210999995470047,4.05900001525879,0,0.720000028610229,0.896000027656555,0,0,-1.20000004768372,0,0,0,339,0,0,5.40000009536743,0,12.1999998092651,0,1.0460000038147,0,1.83800005912781,-99.9000015258789,-7.5,0,0,0.861999988555908,-0.861000001430511,0,45,570.299987792969,564.299987792969,-8.69999980926514,-99.9000015258789,308,15.5,50,294,11,386,-127,120,0,3700,32.2999992370605,0,0,0,0,475,350,0,0,1,0,0,0,100,25.6000003814697,0,0,0,100,0,7.59999990463257,0,0,0.600000023841858,0,0,0,0,0,57,0,0,0,0,
0,-0.0199999995529652,0,1.01999998092651,105.699996948242,52.2999992370605,236.800003051758,493.600006103516,142.399993896484,-0.100000001490116,0.400000005960464,5.5,0.514999985694885,0,0,0,0,1.45099997520447,0.133000001311302,0.307000011205673,1.17499995231628,1.432000041008,2.45099997520447,0.210999995470047,0.721000015735626,1.0460000038147,1.92499995231628,1.08299994468689,0.111000001430511,0.105999998748302,0.108000002801418,0.730000019073486,0.882000029087067,4.02899980545044,0,0,0,1,0,1,4.94999980926514,4.94999980926514,12.9700002670288,42,0,0,2089,47,14.6599998474121,334.600006103516,0.00999999977648258,100.199996948242,12.8599996566772,84.5,1075,178.199996948242,10252,1,18892,74.4000015258789,408,319,44.2000007629395,0.00100000004749745,-1,31.2000007629395,10000,3469,-2140,1.39999997615814,-0.400000005960464,1,236.800003051758,105.699996948242,2.40000009536743,11.6999998092651,0,1.39999997615814,11.6999998092651,0,1,11.3999996185303,11.3999996185303,-28.8999996185303,0,-0.300000011920929,0,0,0,0,0.210999995470047,4.06899976730347,0,0.721000015735626,0.889999985694885,0,0,-1.20000004768372,0,0,0,338,0,0,5.30000019073486,0,12.1999998092651,0,1.06500005722046,0,1.86000001430511,-99.9000015258789,-7.5,0,0,0.857999980449677,-0.85699999332428,0,43.2000007629395,569,563,-8.69999980926514,-99.9000015258789,314,14.8999996185303,50,294,11,386,-127,231,0,3700,32,0,0,0,0,478,352,0,0,1,0,0,0,100,28.8999996185303,0,0,0,100,0,7,0,0,0.600000023841858,0,0,0,0,0,57,0,0,0,0,
0,-0.00999999977648258,0,1.02999997138977,106.099998474121,52.2999992370605,234.800003051758,493.600006103516,142.300003051758,-0.200000002980232,0.400000005960464,5.40000009536743,0.515999972820282,0,0,0,0,1.45200002193451,0.133000001311302,0.303999990224838,1.17499995231628,1.42700004577637,2.45199990272522,0.210999995470047,0.720000028610229,1.04499995708466,1.92400002479553,1.10500001907349,0.111000001430511,0.105999998748302,0.108000002801418,0.726999998092651,0.870999991893768,4.03499984741211,0,0,0,1,0,1,4.94999980926514,4.94999980926514,12.789999961853,42,0,0,2089,47,14.6599998474121,334.600006103516,0.00999999977648258,100.199996948242,13.0200004577637,84.5,1075.09997558594,178.199996948242,10252,1.10000002384186,18892,74.4000015258789,408,319,44.2000007629395,0.00100000004749745,-1,32,10000,3418,-1424,1.39999997615814,0,1,234.800003051758,106.099998474121,2.40000009536743,11.5,0,1.39999997615814,11.3999996185303,0,1,11.3999996185303,11.3999996185303,-25.2000007629395,-0.100000001490116,0,0,0,0,0,0.210999995470047,4.07499980926514,0,0.720000028610229,0.879000008106232,0,0,-1.20000004768372,0,0,0,339,0,0,5.30000019073486,0,12.3999996185303,0,1.08200001716614,0,1.86600005626678,-99.9000015258789,-7.5,0,0,0.870999991893768,-0.870000004768372,0,42.5,568.200012207031,562,-8.69999980926514,-99.9000015258789,314,14.5,50,294,11,386,-127,282,0,3700,32,0,0,0,0,480,354,0,0,1,0,0,0,100,25.2000007629395,0,0,0,100,0,7.09999990463257,0,0,0.600000023841858,0,0,0,0,0,56,0,0,0,0,
0,-0.0299999993294477,0,1.03999996185303,106,52.2999992370605,232.899993896484,494.600006103516,142.300003051758,0.300000011920929,0.5,5.30000019073486,0.515999972820282,0,0,0,0,1.45200002193451,0.130999997258186,0.305000007152557,1.17499995231628,1.41700005531311,2.45600008964539,0.210999995470047,0.720000028610229,1.0460000038147,1.92400002479553,1.11800003051758,0.108999997377396,0.104999996721745,0.108999997377396,0.723999977111816,0.870000004768372,4.03599977493286,0,0,0,1,0,1,4.94999980926514,4.94999980926514,12.8699998855591,42,0,0,2089,47,14.6599998474121,334.600006103516,0.00999999977648258,100.199996948242,13.039999961853,84.5,1075.19995117188,178.199996948242,10252,1.20000004768372,18892,74.4000015258789,408,319,44.2000007629395,0.00100000004749745,-1,32.7000007629395,10000,3431,-489,1.39999997615814,0,1,232.899993896484,106,2.40000009536743,11.5,0,1.39999997615814,11.3999996185303,0,1,11.3999996185303,11.3999996185303,-24.7999992370605,-0.100000001490116,0,0,0,0,0,0.210999995470047,4.07600021362305,0,0.721000015735626,0.879000008106232,0,0,-1.20000004768372,0,0,0,339,0,0,5.30000019073486,0,12.6000003814697,0,1.09899997711182,0,1.88199996948242,-99.9000015258789,-7.5,0,0,0.866999983787537,-0.86599999666214,0,42.5,567.5,560.900024414063,-8.69999980926514,-99.9000015258789,314,14,50,294,11,386,-127,269,0,3700,32,0,0,0,0,480,354,0,0,1,0,0,0,100,24.7999992370605,0,0,0,100,0,6.69999980926514,0,0,0.600000023841858,0,0,0,0,0,57,0,0,0,0,
