Battery voltage [21],Coolant temp [18],Intake air temp [17],Lambda [5],MAP [20],RPM [61],Engine Oil Pressure [804],Engine Oil Temp [805],EGT 1  [128],EGT 2  [129],VSS Gear [90]
13,84.5999984741211,44.2000007629395,0.00100000004749745,57,4194,24.8999996185303,106.099998474121,470,343,0
12.9099998474121,84.5999984741211,44.2000007629395,0.00100000004749745,42.9000015258789,4992,47.2999992370605,106,470,343,0
12.8999996185303,84.5999984741211,44.2000007629395,0.00100000004749745,34.5,5360,186,105.900001525879,470,343,0
12.9300003051758,84.5999984741211,44.2000007629395,0.00100000004749745,29.7999992370605,5042,291.5,105.699996948242,470,344,0
13.0299997329712,84.5,44.2000007629395,0.00100000004749745,28.1000003814697,4442,268,105.699996948242,470,346,0
13.0299997329712,84.5,44.2000007629395,0.00100000004749745,28.2999992370605,3772,243.600006103516,105.699996948242,472,348,0
12.8999996185303,84.5,44.2000007629395,0.00100000004749745,29.8999996185303,3580,242.600006103516,105.699996948242,475,350,0
12.8599996566772,84.5,44.2000007629395,0.00100000004749745,31.2000007629395,3469,236.800003051758,105.699996948242,478,352,0
13.0200004577637,84.5,44.2000007629395,0.00100000004749745,32,3418,234.800003051758,106.099998474121,480,354,0
13.039999961853,84.5,44.2000007629395,0.00100000004749745,32.7000007629395,3431,232.899993896484,106,480,354,0
13.0299997329712,84.4000015258789,44.0999984741211,0.00100000004749745,33.5999984741211,3390,232.899993896484,105.699996948242,482,356,0
12.8999996185303,84.4000015258789,44.0999984741211,0.00100000004749745,34.0999984741211,3308,232.899993896484,105.699996948242,485,357,0
12.960000038147,84.4000015258789,44.0999984741211,0.00100000004749745,34,3265,231.899993896484,105.699996948242,488,358,0
13.0299997329712,84.4000015258789,44.0999984741211,0.00100000004749745,34.2999992370605,3347,232.899993896484,105.699996948242,491,360,0
13.0699996948242,84.3000030517578,44.0999984741211,0.00100000004749745,34.7999992370605,3234,227,105.699996948242,495,361,0
13,84.3000030517578,44.0999984741211,0.00100000004749745,34.7000007629395,3194,226,105.900001525879,498,361,0
