Battery voltage [21],Coolant temp [18],Intake air temp [17],Lambda [5],MAP [20],RPM [61],Engine Oil Pressure [804],Engine Oil Temp [805],EGT 1  [128],EGT 2  [129],VSS Gear [90]
13.3000001907349,89.5999984741211,43.7999992370605,0.850000023841858,33.2000007629395,3668,233.800003051758,105.900001525879,723,488,0
13.2299995422363,89.5999984741211,43.7999992370605,0.859000027179718,32.7999992370605,3716,237.800003051758,106.5,723,488,0
13.2399997711182,89.5999984741211,43.7999992370605,0.851999998092651,32.2000007629395,3753,240.699996948242,106.400001525879,723,488,0
13.1899995803833,89.5999984741211,43.7999992370605,0.847000002861023,31.7000007629395,3708,245.600006103516,106,723,488,0
13.3100004196167,89.5999984741211,43.7999992370605,0.83899998664856,31.2000007629395,3748,246.5,106,723,488,0
13.3199996948242,89.5999984741211,43.7999992370605,0.834999978542328,30.7999992370605,3723,240.699996948242,105.900001525879,723,489,0
13.3400001525879,89.5999984741211,43.7999992370605,0.833000004291534,30.8999996185303,3718,237.800003051758,106,723,489,0
12.9700002670288,89.5999984741211,43.7999992370605,0.83899998664856,30.7000007629395,3765,239.699996948242,106,723,489,0
13.210000038147,89.6999969482422,43.7999992370605,0.833000004291534,30.8999996185303,3746,240.699996948242,105.900001525879,723,489,0
13.3400001525879,89.6999969482422,43.7999992370605,0.829999983310699,31.1000003814697,3720,240.699996948242,106.5,723,489,0
13.3100004196167,89.8000030517578,43.7999992370605,0.828999996185303,31.8999996185303,3664,238.699996948242,106.099998474121,723,489,0
13.2700004577637,89.8000030517578,43.7999992370605,0.820999979972839,32.4000015258789,3656,237.800003051758,106,723,489,1
13.1999998092651,89.8000030517578,43.7999992370605,0.815999984741211,32.7999992370605,3612,232.899993896484,106,723,488,1
13.3100004196167,89.9000015258789,43.7999992370605,0.824999988079071,33.4000015258789,3564,233.800003051758,105.900001525879,723,489,1
13.3400001525879,89.9000015258789,43.7999992370605,0.834999978542328,33.7999992370605,3569,232.899993896484,105.900001525879,723,489,1
13.1899995803833,89.9000015258789,43.7999992370605,0.851999998092651,34,3544,230.899993896484,105.900001525879,723,489,1
13.1899995803833,89.9000015258789,43.7999992370605,0.862999975681305,34.2999992370605,3472,228,106.5,723,489,1
13.1999998092651,89.9000015258789,43.7999992370605,0.870999991893768,34.5999984741211,3451,233.800003051758,106.5,723,489,1
13.3100004196167,89.9000015258789,43.7999992370605,0.874000012874603,34.5,3464,232.899993896484,106.099998474121,723,489,1
13.4700002670288,89.9000015258789,43.7999992370605,0.879999995231628,34.5,3487,235.800003051758,106,723,489,1
13.3500003814697,90,43.7999992370605,0.883000016212463,34.2999992370605,3551,238.699996948242,106,723,489,1
13.2200002670288,90,43.7999992370605,0.884999990463257,34.5,3586,237.800003051758,106,723,489,1
13.4499998092651,90,43.7999992370605,0.88400000333786,45.5,3650,244.600006103516,106,724,489,1
13.5,90.0999984741211,43.7999992370605,0.828999996185303,54.9000015258789,4455,271.899993896484,106,724,490,1
13.5,90.0999984741211,43.7999992370605,0.898000001907349,44.4000015258789,5036,286.600006103516,106.699996948242,724,490,1
12.6099996566772,90.0999984741211,43.7999992370605,0.847000002861023,36.5999984741211,5254,282.700012207031,106.400001525879,724,490,1
12.5699996948242,90.1999969482422,43.7999992370605,0.848999977111816,39.5,5280,289.5,106,724,490,1
12.789999961853,90.1999969482422,43.7999992370605,0.806999981403351,46.5999984741211,5613,293.399993896484,106,725,491,1
